ID,Age,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm, TotalSpent ,AmtLiq Pct.,AmtVege Pct.,AmtNonVeg Pct.,AmtPes Pct.,AmtChocolates Pct.,AmtComm Pct.,NumDeals,NumWebBuy,NumWalkinPur,TotalPur,NumVisits,Response,Complain,Country,Count_success
6663,83,1941,PhD,Single,"51,141.00",0,0,08/07/2013,96,144,0,7,0,0,6, 157.00 ,92%,0%,4%,0%,0%,4%,1,3,4,7,5,0,0,SP,0
6932,82,1942,PhD,Married,"93,027.00",0,0,13/04/2013,77,1285,42,716,55,0,21," 2,119.00 ",61%,2%,34%,3%,0%,1%,0,7,5,12,2,0,0,SP,1
1453,80,1944,PhD,Widow,"57,513.00",0,0,06/07/2013,59,735,40,183,52,20,30," 1,060.00 ",69%,4%,17%,5%,2%,3%,2,9,13,22,6,0,0,SP,0
4994,80,1944,Master,Single,"77,598.00",0,0,01/10/2013,53,1193,33,281,129,66,33," 1,735.00 ",69%,2%,16%,7%,4%,2%,1,7,13,20,3,0,0,SP,1
7106,80,1944,PhD,Married,"75,865.00",0,0,31/03/2014,73,483,0,591,156,0,12," 1,242.00 ",39%,0%,48%,13%,0%,1%,1,3,10,13,1,0,0,SP,0
6142,80,1944,Master,Married,"65,073.00",0,0,20/08/2013,65,629,17,177,69,0,8, 900.00 ,70%,2%,20%,8%,0%,1%,1,5,5,10,2,0,1,SP,0
2968,80,1944,PhD,Divorced,"48,948.00",0,0,01/02/2013,53,437,8,206,160,49,42, 902.00 ,48%,1%,23%,18%,5%,5%,2,7,5,12,6,1,0,AUS,1
8800,80,1944,PhD,Divorced,"48,948.00",0,0,01/02/2013,53,437,8,206,160,49,42, 902.00 ,48%,1%,23%,18%,5%,5%,2,7,5,12,6,1,0,SA,1
4587,79,1945,Master,Widow,"45,006.00",0,0,18/07/2013,90,162,25,53,16,0,10, 266.00 ,61%,9%,20%,6%,0%,4%,1,3,7,10,3,0,0,SP,0
9930,79,1945,PhD,Single,"82,716.00",0,0,05/11/2013,8,606,148,228,15,148,22," 1,167.00 ",52%,13%,20%,1%,13%,2%,1,6,13,19,2,0,0,CA,0
466,79,1945,Graduation,Married,"65,275.00",0,0,03/04/2013,9,388,14,218,91,14,21, 746.00 ,52%,2%,29%,12%,2%,3%,1,4,13,17,2,0,0,SP,0
3711,79,1945,Master,Married,"80,184.00",0,0,01/03/2014,19,1035,134,670,25,38,0," 1,902.00 ",54%,7%,35%,1%,2%,0%,1,6,10,16,3,0,0,SP,2
1740,79,1945,Graduation,Married,"55,956.00",0,0,07/04/2014,22,760,38,104,50,9,38, 999.00 ,76%,4%,10%,5%,1%,4%,2,7,4,11,4,0,0,SP,1
4310,79,1945,Graduation,Married,"80,589.00",0,0,22/01/2014,25,507,93,520,242,40,26," 1,428.00 ",36%,7%,36%,17%,3%,2%,1,5,5,10,1,1,0,AUS,1
6605,79,1945,PhD,Divorced,"55,614.00",0,0,27/11/2013,85,504,13,131,8,0,26, 682.00 ,74%,2%,19%,1%,0%,4%,1,9,6,15,7,0,0,SP,1
819,78,1946,Graduation,Widow,"63,285.00",0,0,05/11/2013,84,508,124,249,50,38,134," 1,103.00 ",46%,11%,23%,5%,3%,12%,1,6,13,19,3,0,0,SP,0
6543,78,1946,Master,Together,"62,847.00",0,0,15/01/2013,45,521,168,706,80,76,61," 1,612.00 ",32%,10%,44%,5%,5%,4%,1,3,4,7,2,0,0,CA,0
158,78,1946,PhD,Together,"71,604.00",0,0,17/11/2013,3,345,53,528,98,75,97," 1,196.00 ",29%,4%,44%,8%,6%,8%,1,8,5,13,4,1,0,SP,1
263,78,1946,PhD,Single,"45,576.00",0,0,28/05/2014,9,56,19,29,2,14,25, 145.00 ,39%,13%,20%,1%,10%,17%,1,3,3,6,8,1,0,SP,0
4619,78,1946,PhD,Single,"113,734.00",0,0,28/05/2014,9,6,2,3,1,262,3, 277.00 ,2%,1%,1%,0%,95%,1%,0,27,0,27,1,0,0,SP,0
9260,78,1946,PhD,Married,"70,356.00",0,0,05/11/2012,20,1349,16,249,43,16,33," 1,706.00 ",79%,1%,15%,3%,1%,2%,2,10,9,19,6,0,0,CA,0
10711,78,1946,Graduation,Married,"69,755.00",0,0,02/10/2013,23,217,77,373,111,23,93, 894.00 ,24%,9%,42%,12%,3%,10%,1,3,12,15,1,0,0,SA,0
9370,78,1946,PhD,Married,"65,846.00",0,0,17/05/2013,68,562,81,276,80,40,81," 1,120.00 ",50%,7%,25%,7%,4%,7%,1,6,6,12,4,0,0,CA,0
182,77,1947,PhD,Together,"44,124.00",0,1,11/05/2013,62,284,0,55,0,6,52, 397.00 ,72%,0%,14%,0%,2%,13%,4,6,5,11,8,0,0,SP,0
5529,77,1947,PhD,Together,"64,014.00",2,1,10/06/2014,56,406,0,30,0,0,8, 444.00 ,91%,0%,7%,0%,0%,2%,7,8,5,13,7,0,0,CA,1
4001,77,1947,PhD,Together,"64,014.00",2,1,10/06/2014,56,406,0,30,0,0,8, 444.00 ,91%,0%,7%,0%,0%,2%,7,8,5,13,7,0,0,SA,1
4939,77,1947,Graduation,Together,"37,760.00",0,0,31/08/2012,20,84,5,38,150,12,28, 317.00 ,26%,2%,12%,47%,4%,9%,2,4,6,10,7,0,0,US,0
8652,77,1947,Graduation,Together,"37,760.00",0,0,31/08/2012,20,84,5,38,150,12,28, 317.00 ,26%,2%,12%,47%,4%,9%,2,4,6,10,7,0,0,SA,0
1553,77,1947,Graduation,Together,"82,657.00",0,0,27/09/2013,71,966,168,672,246,105,126," 2,283.00 ",42%,7%,29%,11%,5%,6%,1,7,10,17,4,0,0,GER,2
2114,77,1947,PhD,Single,"82,800.00",0,0,24/11/2012,23,1006,22,115,59,68,45," 1,315.00 ",77%,2%,9%,4%,5%,3%,1,7,12,19,3,1,0,US,2
4261,77,1947,PhD,Single,"82,800.00",0,0,24/11/2012,23,1006,22,115,59,68,45," 1,315.00 ",77%,2%,9%,4%,5%,3%,1,7,12,19,3,1,0,SA,2
7712,77,1947,PhD,Single,"62,159.00",0,0,28/04/2014,68,182,17,259,77,70,29, 634.00 ,29%,3%,41%,12%,11%,5%,1,6,10,16,4,0,0,US,0
5029,77,1947,Graduation,Married,"18,100.00",0,0,06/08/2013,14,3,1,2,4,3,1, 14.00 ,21%,7%,14%,29%,21%,7%,1,0,3,3,5,0,0,SP,0
1577,77,1947,Graduation,Married,"78,569.00",0,0,19/02/2014,14,558,79,622,207,175,95," 1,736.00 ",32%,5%,36%,12%,10%,5%,1,4,4,8,1,1,0,SP,1
8755,77,1947,Master,Married,"68,657.00",0,0,20/02/2013,4,482,34,471,119,68,22," 1,196.00 ",40%,3%,39%,10%,6%,2%,1,3,9,12,7,0,0,AUS,0
455,77,1947,PhD,Married,"51,012.00",0,0,18/04/2013,86,102,9,63,2,9,24, 209.00 ,49%,4%,30%,1%,4%,11%,1,4,4,8,6,0,0,SP,0
7592,77,1947,PhD,Married,"51,012.00",0,0,18/04/2013,86,102,9,63,2,9,24, 209.00 ,49%,4%,30%,1%,4%,11%,1,4,4,8,6,0,0,SP,0
10562,77,1947,Master,Married,"66,835.00",0,0,28/09/2013,21,620,26,195,34,17,141," 1,033.00 ",60%,3%,19%,3%,2%,14%,1,6,13,19,2,0,0,IND,0
7881,77,1947,Master,Married,"66,835.00",0,0,28/09/2013,21,620,26,195,34,17,141," 1,033.00 ",60%,3%,19%,3%,2%,14%,1,6,13,19,2,0,0,SP,0
3945,76,1948,PhD,Widow,"68,117.00",0,1,10/03/2013,80,618,44,215,0,17,36, 930.00 ,66%,5%,23%,0%,2%,4%,2,11,4,15,6,1,0,SP,1
13,76,1948,PhD,Widow,"25,358.00",0,1,22/07/2013,57,19,0,5,0,0,8, 32.00 ,59%,0%,16%,0%,0%,25%,2,1,3,4,6,0,0,SA,0
1173,76,1948,Master,Together,"77,632.00",0,0,10/03/2013,73,1200,105,758,0,42,147," 2,252.00 ",53%,5%,34%,0%,2%,7%,1,4,6,10,2,1,0,SP,2
9952,76,1948,Master,Together,"78,093.00",0,0,11/12/2013,53,368,32,639,13,43,10," 1,105.00 ",33%,3%,58%,1%,4%,1%,1,4,5,9,1,0,0,SA,0
10814,76,1948,Graduation,Together,"70,321.00",0,0,16/01/2013,6,303,23,751,82,26,191," 1,376.00 ",22%,2%,55%,6%,2%,14%,1,6,13,19,4,1,0,SP,0
10250,76,1948,Basic,Together,"28,389.00",0,0,20/11/2012,49,1,5,3,7,4,8, 28.00 ,4%,18%,11%,25%,14%,29%,1,1,2,3,7,0,0,SP,0
7718,76,1948,Master,Together,"66,000.00",0,0,20/04/2014,36,244,51,270,101,0,45, 711.00 ,34%,7%,38%,14%,0%,6%,1,1,5,6,1,0,0,SP,0
9298,76,1948,PhD,Together,"81,574.00",0,0,28/04/2014,89,1252,0,465,46,35,0," 1,798.00 ",70%,0%,26%,3%,2%,0%,1,4,8,12,1,0,0,SA,2
6203,76,1948,Graduation,Together,"74,485.00",0,0,24/08/2013,58,499,149,815,173,49,49," 1,734.00 ",29%,9%,47%,10%,3%,3%,1,6,12,18,3,0,0,SP,0
3867,76,1948,PhD,Together,"73,059.00",0,1,31/08/2013,36,410,112,420,0,82,71," 1,095.00 ",37%,10%,38%,0%,7%,6%,1,9,13,22,4,0,0,SP,0
3859,76,1948,PhD,Together,"73,059.00",0,1,31/08/2013,36,410,112,420,0,82,71," 1,095.00 ",37%,10%,38%,0%,7%,6%,1,9,13,22,4,0,0,SA,0
6963,76,1948,Graduation,Single,"77,457.00",0,0,05/03/2014,85,675,11,400,15,45,11," 1,157.00 ",58%,1%,35%,1%,4%,1%,1,2,10,12,1,0,0,SA,1
6248,76,1948,Master,Single,"91,712.00",0,0,17/10/2013,47,1276,24,746,94,29,48," 2,217.00 ",58%,1%,34%,4%,1%,2%,0,9,11,20,3,1,0,SP,1
7990,76,1948,Graduation,Married,"27,469.00",0,0,02/08/2012,2,9,1,2,3,2,0, 17.00 ,53%,6%,12%,18%,12%,0%,1,0,3,3,6,0,0,CA,0
2079,76,1948,2n Cycle,Married,"81,044.00",0,0,27/12/2013,0,450,26,535,73,98,26," 1,208.00 ",37%,2%,44%,6%,8%,2%,1,5,10,15,1,0,0,US,0
2878,76,1948,PhD,Married,"67,472.00",0,1,28/09/2013,93,162,31,127,8,17,69, 414.00 ,39%,7%,31%,2%,4%,17%,2,4,7,11,3,0,0,SP,0
202,75,1949,PhD,Widow,"82,032.00",0,0,05/04/2014,54,332,194,377,149,125,57," 1,234.00 ",27%,16%,31%,12%,10%,5%,0,4,7,11,1,0,0,IND,0
9589,75,1949,PhD,Widow,"82,032.00",0,0,05/04/2014,54,332,194,377,149,125,57," 1,234.00 ",27%,16%,31%,12%,10%,5%,0,4,7,11,1,0,0,IND,0
4530,75,1949,Master,Widow,"78,427.00",0,0,24/10/2012,36,972,19,595,180,26,138," 1,930.00 ",50%,1%,31%,9%,1%,7%,3,3,10,13,3,1,0,GER,1
4137,75,1949,Graduation,Together,"70,666.00",0,0,06/12/2013,29,398,40,367,119,122,30," 1,076.00 ",37%,4%,34%,11%,11%,3%,1,7,4,11,4,0,0,AUS,0
4107,75,1949,PhD,Together,"46,681.00",0,2,08/10/2013,52,269,15,69,15,19,38, 425.00 ,63%,4%,16%,4%,4%,9%,2,4,4,8,5,0,0,SP,0
10906,75,1949,PhD,Together,"46,681.00",0,2,08/10/2013,52,269,15,69,15,19,38, 425.00 ,63%,4%,16%,4%,4%,9%,2,4,4,8,5,0,0,SA,0
3336,75,1949,PhD,Together,"66,375.00",0,1,21/11/2013,96,712,0,45,0,0,191, 948.00 ,75%,0%,5%,0%,0%,20%,3,2,5,7,7,0,0,AUS,1
10341,75,1949,Graduation,Together,"51,315.00",0,0,23/02/2014,45,68,28,39,16,30,41, 222.00 ,31%,13%,18%,7%,14%,18%,1,2,5,7,2,0,0,AUS,0
4149,75,1949,PhD,Together,"76,140.00",0,0,13/05/2014,57,586,66,653,17,0,26," 1,348.00 ",43%,5%,48%,1%,0%,2%,1,5,6,11,2,0,0,SP,0
6715,75,1949,PhD,Single,"60,200.00",0,1,02/01/2013,3,502,19,132,0,6,26, 685.00 ,73%,3%,19%,0%,1%,4%,6,6,11,17,6,0,0,SP,0
5147,75,1949,Graduation,Single,"90,842.00",0,0,29/07/2013,57,774,70,118,182,187,93," 1,424.00 ",54%,5%,8%,13%,13%,7%,1,4,13,17,1,0,0,SP,0
895,75,1949,PhD,Married,"61,467.00",0,2,09/12/2012,69,410,16,114,0,5,49, 594.00 ,69%,3%,19%,0%,1%,8%,3,5,10,15,5,0,0,SP,0
6103,75,1949,Graduation,Married,"42,192.00",0,0,06/09/2013,40,40,15,15,17,6,7, 100.00 ,40%,15%,15%,17%,6%,7%,1,2,3,5,4,0,0,AUS,0
4988,75,1949,PhD,Married,"34,469.00",1,1,04/05/2014,58,19,6,20,0,5,12, 62.00 ,31%,10%,32%,0%,8%,19%,3,1,4,5,4,0,0,SA,0
